Symbol,Series,ISIN
20MICRONS,EQ,INE144J01027
3IINFOTECH,EQ,INE748C01020
3MINDIA,EQ,INE470A01017
63MOONS,EQ,INE111B01023
8KMILES,EQ,INE650K01021
A2ZINFRA,EQ,INE619I01012
AARTIDRUGS,EQ,INE767A01016
AARTIIND,EQ,INE769A01020
AARVEEDEN,BE,INE273D01019
AARVI,SM,INE754X01016
ABAN,EQ,INE421A01028
ABB,EQ,INE117A01022
ABBOTINDIA,EQ,INE358A01014
ABCAPITAL,EQ,INE674K01013
ABFRL,EQ,INE647O01011
ABGSHIP,BZ,INE067H01016
ABMINTLTD,BE,INE251C01017
ACC,EQ,INE012A01025
ACCELYA,EQ,INE793A01012
ACCORD,SM,INE113X01015
ACE,EQ,INE731H01025
ACEINTEG,SM,INE543V01017
ADANIENT,EQ,INE423A01024
ADANIPORTS,EQ,INE742F01042
ADANIPOWER,EQ,INE814H01011
ADANITRANS,EQ,INE931S01010
ADFFOODS,EQ,INE982B01019
ADHUNIK,EQ,INE400H01019
ADHUNIKIND,EQ,INE452L01012
ADLABS,EQ,INE172N01012
ADORWELD,EQ,INE045A01017
ADSL,EQ,INE102I01027
ADVANIHOTR,EQ,INE199C01026
ADVENZYMES,EQ,INE837H01020
AEGISCHEM,EQ,INE208C01025
AGARIND,BE,INE204E01012
AGCNET,EQ,INE676A01019
AGLSL,EQ,INE517U01013
AGRITECH,EQ,INE449G01018
AGROPHOS,SM,INE740V01019
AHLEAST,EQ,INE926K01017
AHLUCONT,EQ,INE758C01029
AHLWEST,EQ,INE915K01010
AIAENG,EQ,INE212H01026
AIFL,EQ,INE428O01016
AIRAN,SM,INE645W01018
AIROLAM,SM,INE801L01010
AJANTPHARM,EQ,INE031B01049
AJMERA,EQ,INE298G01027
AKSHARCHEM,EQ,INE542B01011
AKSHOPTFBR,EQ,INE523B01011
AKZOINDIA,EQ,INE133A01011
ALANKIT,EQ,INE914E01040
ALBERTDAVD,EQ,INE155C01010
ALBK,EQ,INE428A01015
ALCHEM,EQ,INE964B01033
ALEMBICLTD,EQ,INE426A01027
ALICON,EQ,INE062D01024
ALKALI,BE,INE773I01017
ALKEM,EQ,INE540L01014
ALKYLAMINE,EQ,INE150B01021
ALLCARGO,EQ,INE418H01029
ALLSEC,EQ,INE835G01018
ALMONDZ,EQ,INE326B01027
ALOKTEXT,EQ,INE270A01011
ALPA,EQ,INE385I01010
ALPHAGEO,EQ,INE137C01018
ALPSINDUS,EQ,INE093B01015
AMARAJABAT,EQ,INE885A01032
AMBIKCO,EQ,INE540G01014
AMBUJACEM,EQ,INE079A01024
AMDIND,EQ,INE005I01014
AMRUTANJAN,EQ,INE098F01023
AMTEKAUTO,EQ,INE130C01021
ANANTRAJ,EQ,INE242C01024
ANDHRABANK,EQ,INE434A01013
ANDHRACEMT,BE,INE666E01012
ANDHRSUGAR,EQ,INE715B01013
ANGIND,BE,INE017D01010
ANIKINDS,EQ,INE087B01017
ANSALAPI,EQ,INE436A01026
ANSALHSG,EQ,INE880B01015
ANTGRAPHIC,BE,INE414B01021
APARINDS,EQ,INE372A01015
APCL,EQ,INE071F01012
APCOTEXIND,EQ,INE116A01024
APEX,EQ,INE346W01013
APLAPOLLO,EQ,INE702C01019
APLLTD,EQ,INE901L01018
APOLLOHOSP,EQ,INE437A01024
APOLLOTYRE,EQ,INE438A01022
APOLSINHOT,EQ,INE451F01016
APTECHT,EQ,INE266F01018
ARCHIDPLY,EQ,INE877I01016
ARCHIES,EQ,INE731A01020
ARCOTECH,EQ,INE574I01035
ARIES,EQ,INE298I01015
ARIHANTSUP,EQ,INE643K01018
ARMANFIN,EQ,INE109C01017
AROGRANITE,EQ,INE210C01013
ARROWGREEN,EQ,INE570D01018
ARROWTEX,EQ,INE933J01015
ARSHIYA,EQ,INE968D01022
ARSSINFRA,EQ,INE267I01010
ARTNIRMAN,SM,INE738V01013
ARVIND,EQ,INE034A01011
ARVSMART,EQ,INE034S01021
ASAHIINDIA,EQ,INE439A01020
ASAHISONG,EQ,INE228I01012
ASAL,EQ,INE900C01027
ASHAPURMIN,EQ,INE348A01023
ASHIANA,EQ,INE365D01021
ASHIMASYN,EQ,INE440A01010
ASHOKA,EQ,INE442H01029
ASHOKLEY,EQ,INE208A01029
ASIANHOTNR,EQ,INE363A01022
ASIANPAINT,EQ,INE021A01026
ASIANTILES,EQ,INE022I01019
ASLIND,SM,INE617I01024
ASPINWALL,EQ,INE991I01015
ASSAMCO,EQ,INE442A01024
ASTEC,EQ,INE563J01010
ASTRAL,EQ,INE006I01046
ASTRAMICRO,EQ,INE386C01029
ASTRAZEN,EQ,INE203A01020
ATFL,EQ,INE209A01019
ATLANTA,EQ,INE285H01022
ATLASCYCLE,BE,INE446A01017
ATUL,EQ,INE100A01010
ATULAUTO,EQ,INE951D01028
AUBANK,EQ,INE949L01017
AURDIS,SM,INE448V01019
AURIONPRO,EQ,INE132H01018
AUROPHARMA,EQ,INE406A01037
AUSOMENT,EQ,INE218C01016
AUTOAXLES,EQ,INE449A01011
AUTOIND,BE,INE718H01014
AUTOLITIND,BE,INE448A01013
AVADHSUGAR,BE,INE349W01017
AVANTIFEED,EQ,INE871C01020
AVTNPL,EQ,INE488D01021
AXISBANK,EQ,INE238A01034
AXISCADES,EQ,INE555B01013
AXISGOLD,EQ,INF846K01347
AXISNIFTY,EQ,INF846K01ZL0
AYMSYNTEX,EQ,INE193B01039
BAFNAPHARM,BE,INE878I01014
BAGFILMS,EQ,INE116D01028
BAJAJ-AUTO,EQ,INE917I01010
BAJAJCORP,EQ,INE933K01021
BAJAJELEC,EQ,INE193E01025
BAJAJFINSV,EQ,INE918I01018
BAJAJHIND,EQ,INE306A01021
BAJAJHLDNG,EQ,INE118A01012
BAJFINANCE,EQ,INE296A01024
BALAJITELE,EQ,INE794B01026
BALAMINES,EQ,INE050E01027
BALKRISHNA,EQ,INE875R01011
BALKRISIND,EQ,INE787D01026
BALLARPUR,EQ,INE294A01037
BALMLAWRIE,EQ,INE164A01016
BALPHARMA,EQ,INE083D01012
BALRAMCHIN,EQ,INE119A01028
BANARBEADS,EQ,INE655B01011
BANARISUG,EQ,INE459A01010
BANCOINDIA,EQ,INE213C01025
BANG,EQ,INE863I01016
BANKBARODA,EQ,INE028A01039
BANKBEES,EQ,INF732E01078
BANKINDIA,EQ,INE084A01016
BANSAL,SM,INE668X01018
BANSWRAS,EQ,INE629D01012
BARTRONICS,EQ,INE855F01034
BASF,EQ,INE373A01013
BASML,EQ,INE186H01014
BATAINDIA,EQ,INE176A01028
BAYERCROP,EQ,INE462A01022
BBL,EQ,INE464A01028
BBTC,EQ,INE050A01025
BEARDSELL,EQ,INE520H01022
BEDMUTHA,EQ,INE844K01012
BEL,EQ,INE263A01024
BEML,EQ,INE258A01016
BEPL,EQ,INE922A01025
BERGEPAINT,EQ,INE463A01038
BETA,SM,INE351Y01019
BFINVEST,EQ,INE878K01010
BFUTILITIE,EQ,INE243D01012
BGLOBAL,BE,INE224M01013
BGRENERGY,EQ,INE661I01014
BHAGERIA,EQ,INE354C01027
BHAGYANGR,EQ,INE458B01036
BHAGYAPROP,EQ,INE363W01018
BHANDARI,EQ,INE474E01029
BHARATFIN,EQ,INE180K01011
BHARATFORG,EQ,INE465A01025
BHARATGEAR,EQ,INE561C01019
BHARATIDIL,BE,INE673G01013
BHARATRAS,EQ,INE838B01013
BHARATWIRE,EQ,INE316L01019
BHARTIARTL,EQ,INE397D01024
BHEL,EQ,INE257A01026
BHUSANSTL,EQ,INE824B01021
BIGBLOC,EQ,INE412U01017
BIL,EQ,INE828A01016
BILPOWER,EQ,INE952D01018
BINANIIND,EQ,INE071A01013
BINDALAGRO,EQ,INE143A01010
BIOCON,EQ,INE376G01013
BIOFILCHEM,BE,INE829A01014
BIRLACABLE,EQ,INE800A01015
BIRLACORPN,EQ,INE340A01012
BIRLAMONEY,EQ,INE865C01022
BLBLIMITED,BE,INE791A01024
BLISSGVS,EQ,INE416D01022
BLKASHYAP,EQ,INE350H01032
BLS,EQ,INE153T01027
BLUEBLENDS,EQ,INE113O01014
